specs_poly,specs_mono,weights_poly,weights_mono,M_mass_poly,M_mass_mono,F_mass_poly,F_mass_mono,Clutch_size_poly,Clutch_size_mono,Egg_mass_poly,Egg_mass_mono,Mating_System_poly,Mating_System_mono,overallmol_poly,overallmol_mono,dnmito_poly,dnmito_mono,dsmito_poly,dsmito_mono,dndsmito_poly,dndsmito_mono,sprich_poly,sprich_mono
Vireo,Hylophilus,0.709677419,0.133333333,13.54,9.5,13.36666667,9.5,3.4625,NA,2.117857143,1.72,2.045454545,2,0.037983,0.030764,0.050257124,0.075833879,0.122227453,0.143246143,0.411177051,0.529395605,31,15
Epimachus,Manucodia,0.411764706,0.333333333,154.5916667,205.5,124.7416667,157.5,NA,2,9.6,11.9,5,2,0.018729,0.010212,0.073068107,0.120106139,0.20344704,0.191187316,0.359150504,0.628211856,34,6
Hirundo,Petrochelidon,0.121212121,0.666666667,17.33333333,498.445,17.53333333,411.99,4.47,3,1.826666667,2.1,2.25,2,0.05196,0.078539,0.084820874,0.056335695,0.170783823,0.140051811,0.496656372,0.402248956,33,3
Tachycineta,Riparia,0.111111111,0.25,21.7,12.7,20.7,13.6,5.46,4.49,1.76,1.43,3,2,0.061713,0.064597,0.06770015,0.051715431,0.145136131,0.153595452,0.466459656,0.336698976,9,4
Sylvia,Zosterops,0.039215686,0.007731959,16.35,11.83333333,16.2,11.8,4.5,3,1.985,1.315,2.5,2,0.048397,0.099269,0.127627038,0.12909064,0.215231429,0.23428973,0.592975845,0.550987189,51,388
Troglodytes,Thryothorus,0.266666667,0.024390244,9.95,20.3,9.225,18.3,6.02,4.67,1.35,2.25,3.5,2,0.063401,0.096634,0.047424427,0.062831528,0.121723659,0.1519995,0.389607305,0.413366676,15,41
Sturnus,Acridotheres,0.125,0.142857143,81.15,126.8,72.6,114.3,5.01,4.5,6.8,7.1,2.5,2,0.003617,0.011194,0.040719695,0.041724405,0.13429639,0.131147691,0.303207666,0.318148222,16,7
Oenanthe,Saxicola,0.024390244,0.272727273,24.1,15.06666667,23.8,15.6,6.15,5.525,2.67,2.01,3,2,0.022534,0.009463,0.04787134,0.033566363,0.132940476,0.112402101,0.36009605,0.298627542,41,11
Euplectes,Quelea,0.058823529,0.111111111,25.5,176.2,20.7,282.4,3,4,1.66,11.9,4,2,4.00E-06,0.035126,0.033923718,0.040067161,0.144672936,0.150516676,0.234485588,0.26619749,17,9
Lonchura,Taeniopygia,0.170731707,0.6,11.975,11.53333333,11.975,11.8,NA,5.325,1.09,1.121666667,2.285714286,2,0.041553,0.103449,0.056102906,0.060304771,0.140895919,0.107282812,0.398186875,0.562110279,41,10
Calcarius,Plectrophenax,1,0.5,24.525,38.7,23.075,36,4.075,5.34,2.38,3.12,2.25,2,0.030144,0.043927,0.025444139,0.029574512,0.116791341,0.116388925,0.217859809,0.254100741,4,2
Myioborus,Basileuterus,0.125,0.2,9.35,13.275,9.45,13.275,3.11,NA,1.45,1.99,2.5,2,0.05054,0.066755,0.026878505,0.022988414,0.100248698,0.094436141,0.268118243,0.243428134,16,25
Spizella,Amphispiza,0.857142857,0.5,12.61666667,14.1,12.65,13.4,3.828333333,2.79,1.665,1.86,2.333333333,2,0.025991,0.108864,0.048084901,0.051011014,0.113789705,0.163555459,0.422576903,0.311888177,7,2
Zonotrichia,Junco,1,0.25,29.4,18.9,27.64,19.2,4.18,4,2.916,2.13,2.2,2,0.096385,0.057986,0.01748299,0.03013897,0.081133261,0.087356385,0.215484861,0.345011646,5,4
Agelaius,Molothrus,0.4,0.333333333,62.4,43.75,42.55,35.85,3.39,4.3,3.885,3.71,4,2,0.033326,0.085778,0.014111232,0.031879046,0.113529412,0.09095896,0.124295826,0.350477247,5,6
Passerina,Pheucticus,0.222222222,0.333333333,22.35,44.85,20.425,46.9,3.306666667,3.335,2.5075,4.13,3.5,2,4.00E-06,0.074013,0.043020196,0.053372864,0.141474075,0.136838622,0.304085369,0.390042398,18,6
